_id,DELITOS SEGUN AGRUPACION POR MODERNIZACION,REGION AYSEN DEL GRAL CARLOS IBANEZ DEL CAMPO,REGION DE ANTOFAGASTA,REGION DE ARICA Y PARINACOTA,REGION DE ATACAMA,REGION DE COQUIMBO,REGION DE LA ARAUCANIA,REGION DE LOS LAGOS,REGION DE LOS RIOS,REGION DE MAGALLANES Y LA ANTARTICA CHILENA,REGION DE NUBLE,REGION DE TARAPACA,REGION DE VALPARAISO,REGION DEL BIO BIO,REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS,REGION DEL MAULE,REGION METROPOLITANA DE SANTIAGO,Total general
1,Amenazas con armas.,0,0,1,0,4,1,2,0,1,1,2,11,4,3,1,18,49
2,Amenazas y riñas.,39,189,173,199,364,371,376,110,138,155,156,654,638,445,498,2630,7135
3,Consumo de alcohol y de drogas en la vía pública.,1,0,0,0,0,2,0,0,1,0,0,1,0,1,3,3,12
4,Crímenes y simples delitos contenidos en la ley Nº 17.798,1,1,1,5,6,20,5,9,1,8,7,34,18,13,33,93,255
5,Crímenes y simples delitos contenidos en la ley Nº 20.000,12,40,25,21,45,72,56,48,37,41,40,211,165,102,147,280,1342
6,Daños,9,30,15,33,61,72,50,27,34,13,18,74,82,61,70,226,875
7,Delitos en contexto de violencia intrafamiliar,8,72,38,47,48,88,65,20,27,33,33,120,152,102,84,589,1526
8,Homicidios y femicidios,0,0,0,1,0,2,2,2,0,0,0,4,3,2,4,10,30
9,Hurtos.,53,164,145,182,334,466,260,166,140,154,139,515,549,256,506,1703,5732
10,Incivilidad,15,55,34,44,49,75,50,24,19,18,13,100,70,67,64,344,1041
11,Lesiones graves,0,7,4,1,7,8,8,2,1,2,2,16,15,6,10,76,165
12,Lesiones leves.,8,30,35,41,86,61,40,40,32,18,20,102,119,59,73,511,1275
13,Lesiones menos graves.,0,5,0,8,2,6,6,2,0,2,10,6,17,6,10,68,148
14,Otros desórdenes públicos.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
15,Otros robos con fuerza.,9,48,31,91,91,113,68,53,9,36,12,122,130,95,86,580,1574
16,Receptación.,1,3,1,2,11,2,1,1,0,6,1,3,11,3,4,71,121
17,Robos con violencia e intimidación,2,49,50,94,69,42,23,16,9,15,41,120,85,69,72,990,1746
18,Robos de vehículos y sus accesorios.,3,30,28,20,30,15,6,7,2,5,28,122,100,49,25,387,857
19,Robos en lugares habitados y no habitados,21,94,75,188,233,326,176,130,67,132,48,400,404,267,334,1090,3985
20,Robos por sorpresa.,1,28,17,23,40,24,21,13,2,14,17,129,57,52,46,985,1469
21,Violaciones y delitos sexuales,32,133,129,83,212,206,178,72,102,86,110,365,325,222,280,1433,3968
22,Total general,215,978,802,1083,1692,1972,1393,742,622,739,697,3109,2945,1881,2350,12087,33307
23,FUENTE: Base Relacional para Análisis e Información (BRAIN) (datos comprende información desde el 01/01/2025 al 30/09/2025).,,,,,,,,,,,,,,,,,
